City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind_Speed
364,coquimbo,0,CL,1537938000,93,-29.95,-71.34,51.8,8.05
365,awbari,64,LY,1537941766,45,26.59,12.77,71.34,5.61
366,grand-santi,48,GF,1537941766,97,4.27,-54.38,74.58,1.7
367,grand gaube,20,MU,1537938000,57,-20.01,57.66,77.0,14.99
368,kudahuvadhoo,64,MV,1537941767,100,2.67,72.89,80.61,12.1
369,jhudo,0,PK,1537941767,70,24.96,69.3,86.28,11.54
370,paamiut,8,GL,1537941514,100,61.99,-49.67,37.86,15.68
371,linkuva,0,LT,1537939200,93,56.09,23.97,41.0,12.75
372,vila velha,40,BR,1537938000,78,-3.71,-38.6,78.8,16.11
373,thessalon,90,CA,1537940100,98,46.26,-83.55,51.51,13.44
374,vestmannaeyjar,92,IS,1537941769,100,63.44,-20.27,44.16,8.97
375,mountain home,1,US,1537937580,8,43.13,-115.69,53.06,2.71
376,tobolsk,0,RU,1537941770,58,58.2,68.25,63.42,10.2
377,devils lake,1,US,1537941360,82,48.11,-98.87,40.91,12.75
378,dhidhdhoo,68,MV,1537941771,100,6.88,73.1,82.32,10.98
379,bandarbeyla,80,SO,1537941771,95,9.49,50.81,77.82,18.03
380,evensk,0,RU,1537941535,100,61.92,159.24,44.52,12.44
381,samarinda,12,ID,1537941772,59,-0.5,117.14,90.78,3.83
